Job Number,,Hours on the job,Dates worked on,
1167K,,,,
1441T,,,,
1444T,,,,
1497E,,,,
1654N,,,,
1681E,,,,
1710N,,,,
1712K,,,,
1722E,,,,
1745N,,,,
1746N,,8,22-Apr,
1747N,,,,
1748N,,,,
1755N,,,,
1758T,,,,
1759E,,,,
1761N,,,,
1769E,,,,
1782K,,,,
1784K,,,,
1785N,,,,
1786N,,,,
1787E,,,,
1788N,,,,
1793K,,,,
1795N,,,,
1796N,,,,
1797N,,,,
1798N,,,,
1799N,,,,
1805N,,,,
1807N,,,,
1809N,,,,
1810E,,,,
1813N,,,,
1815T,,,,
1816N,,108.75,"11/3, 17/3, 23/3, 24/3, 29/3, 30/3, 31/3, 1/4, 6/4, 7/4, 8/4, 12/4, 13/4, 14/4",
1817E,,,,
1819N,,,,
1822T,,,,
1822E,,,,
1823N,,,,
1824K,,,,
1827N,,,,
1828N,,,,
1830E,,,,
1831N,,7.5,15-Mar,
1832E,,,,
1833E,,,,
1834E,,,,
1835N,,,,
1836E,,,,
1837T,,,,
1838T,,,,
1839N,,,,
1840E,,,,
1841N,,,,
1842N,,,,
1843N,,,,
1844N,,,,
1846T,,,,
1847T,,,,
1848E,,,,
1849T,,,,
1850E,,,,
1851N,,,,
1852T,,,,
1853T,,,,
1855T,,,,
1856E,,8,29-Apr,
1857T,,,,
1858E,,,,
1859N,,,,
1860N,,,,
1861E,,,,
1862N,,,,
1863E,,,,
1864K,,,,
1865E,,,,
1867K,,,,
1868N,,,,
1869T,,,,
1870T,,,,
1871N,,7.5,16-Mar,
1873E,,,,
1874E,,,,
1875N,,,,
1876N,,,,
1877T,,,,
1878N,,,,
1879T,,,,
1880E,,,,
1881T,,,,
1882N,,,,
1883T,,,,
1884N,,,,
1885N,,,,
1886T,,,,
1887N,,,,
1888N,,,,
1889E,,,,
1890E,,,,
1891T,,,,
1892T,,,,
1893T,,,,
1894E,,,,
1895N,,,,
1896E,,2.25,8-Mar,
1897N,,,,
1898N,,,,
1899T,,,,
1900E,,,,
1901N,,,,
1902E,,,,
1903E,,,,
1904K,,,,
1905T,,,,
1906E,,,,
1907E,,,,
1908E,,,,
1909T,,,,
1910T,,1.75,8/03/2021,
1911T,,,,
1912E,,,,
1913N,,,,
1914E,,,,
1915E,,,,
